Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2016 [YR2016]
World,WLD,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),41282.7,40556.0,40156.7,..
World,WLD,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),6.2,8.8,,12.8
World,WLD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),,,,9.3
World,WLD,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Unit (0),76,82,88,..
World,WLD,Improved sanitation facilities (% of population with access),SH.STA.ACSN,Unit (0),53,59,65,..
World,WLD,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),2.6,2.2,2.2,2.0
World,WLD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),1662,1636,1873,..
World,WLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Unit (0.00),4.23,4.03,4.83,..
World,WLD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),2126,2386,2956,..
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),22579.76,33543.17,65906.15,75641.58
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),3.0,4.4,4.3,2.4
World,WLD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),7.6,4.7,4.3,1.8
World,WLD,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),..,5,4,..
World,WLD,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),..,31,29,..
World,WLD,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,Unit (0),..,64,67,..
World,WLD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),19,26,29,..
World,WLD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),20,25,28,..
World,WLD,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Unit (0),26,24,24,..
World,WLD,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Unit (0.0),22.0,24.3,22.3,25.2
World,WLD,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Unit (0.0),-2.2,0.2,-5.7,-2.7
World,WLD,Time required to start a business (days),IC.REG.DURS,Unit (0),..,..,35,21
World,WLD,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Unit (0.0),126.1,161.7,166.6,176.9
World,WLD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Unit (0.0),14.3,15.7,13.6,15.2
World,WLD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Unit (0.0),3.2,2.2,2.5,2.2
World,WLD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Unit (0.0),0.2,12.1,76.5,98.3
World,WLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,Unit (0.0),0.0,6.8,29.1,43.9
World,WLD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Unit (0),18,25,17,..
World,WLD,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,Unit (0),..,..,..,..
World,WLD,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Unit (0),31,39,47,50
World,WLD,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Unit (0),..,..,..,..
World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Millions (0),..,..,..,..
World,WLD,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Unit (0.0),,,,
World,WLD,Net migration,SM.POP.NETM,Thousands (0),..,..,..,..
World,WLD,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Millions (0),67870,121222,417961,296140
World,WLD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Millions (0),196315,1461013,1863433,1756721
World,WLD,Net official development assistance received (current US$),DT.ODA.ODAT.CD,Millions (0.0),58234.0,49830.6,130748.3,..
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,Millions (0.00),1819.29,2044.50,2205.61,2296.79
East Asia & Pacific,EAS,Population growth (annual %),SP.POP.GROW,Unit (0.0),1.5,0.9,0.7,0.7
East Asia & Pacific,EAS,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),24822.3,24822.3,24824.9,24825.2
East Asia & Pacific,EAS,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),74.6,83.8,90.4,94.2
East Asia & Pacific,EAS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,,
East Asia & Pacific,EAS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),60.2,37.2,11.1,3.5
East Asia & Pacific,EAS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),5031.30,7846.47,16182.81,22664.33
East Asia & Pacific,EAS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),2766,3838,7337,9868
East Asia & Pacific,EAS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),5778.11,11607.88,25949.02,39068.56
East Asia & Pacific,EAS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),3176,5678,11765,17010
East Asia & Pacific,EAS,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),,,,
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),69,71,74,..
East Asia & Pacific,EAS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),2.6,1.8,1.8,1.8
East Asia & Pacific,EAS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),27,20,19,..
East Asia & Pacific,EAS,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),74,75,..,..
East Asia & Pacific,EAS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),85,85,..,..
East Asia & Pacific,EAS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),57,40,22,..
East Asia & Pacific,EAS,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),17.8,12.0,7.8,6.0
East Asia & Pacific,EAS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),89,84,93,..
East Asia & Pacific,EAS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),97,93,104,..
East Asia & Pacific,EAS,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),118.8,105.9,109.4,105.4
East Asia & Pacific,EAS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),44,63,82,..
East Asia & Pacific,EAS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),1,1,1,..
East Asia & Pacific,EAS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),,,,
East Asia & Pacific,EAS,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),6280.3,6253.8,6370.6,..
East Asia & Pacific,EAS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),7.8,10.1,,18.0
East Asia & Pacific,EAS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),,,,11.3
East Asia & Pacific,EAS,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Unit (0),71,82,91,..
East Asia & Pacific,EAS,Improved sanitation facilities (% of population with access),SH.STA.ACSN,Unit (0),53,63,73,..
East Asia & Pacific,EAS,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),3.5,3.0,2.7,2.3
East Asia & Pacific,EAS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),1016,1217,1924,..
East Asia & Pacific,EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Unit (0.00),2.60,3.20,5.70,..
East Asia & Pacific,EAS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),1097,1667,3077,..
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),4740.13,8283.67,16934.26,22477.43
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),5.5,4.9,7.1,4.1
East Asia & Pacific,EAS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),5.9,2.5,3.2,1.7
East Asia & Pacific,EAS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),13,8,6,..
East Asia & Pacific,EAS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),38,38,36,..
East Asia & Pacific,EAS,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,Unit (0),48,54,58,..
East Asia & Pacific,EAS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),21,27,32,..
East Asia & Pacific,EAS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),19,25,29,..
East Asia & Pacific,EAS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Unit (0),34,30,33,..
East Asia & Pacific,EAS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Unit (0.0),,,13.2,16.3
East Asia & Pacific,EAS,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Unit (0.0),,,,
East Asia & Pacific,EAS,Time required to start a business (days),IC.REG.DURS,Unit (0),..,..,36,21
East Asia & Pacific,EAS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Unit (0.0),197.2,220.2,197.6,190.7
East Asia & Pacific,EAS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Unit (0.0),,,11.2,12.1
East Asia & Pacific,EAS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Unit (0.0),1.6,1.4,1.6,1.7
East Asia & Pacific,EAS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Unit (0.0),0.1,11.4,73.7,104.4
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,Unit (0.0),0.0,5.6,34.2,49.6
East Asia & Pacific,EAS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Unit (0),22,33,26,..
East Asia & Pacific,EAS,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,Unit (0),..,..,..,..
East Asia & Pacific,EAS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Unit (0),31,41,54,44
East Asia & Pacific,EAS,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Unit (0),..,..,..,..
East Asia & Pacific,EAS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Millions (0),..,..,..,..
East Asia & Pacific,EAS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Unit (0.0),,,,
East Asia & Pacific,EAS,Net migration,SM.POP.NETM,Thousands (0),..,..,..,..
East Asia & Pacific,EAS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Millions (0),8654,18720,68383,88612
East Asia & Pacific,EAS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Millions (0),29808,174697,496299,450173
East Asia & Pacific,EAS,Net official development assistance received (current US$),DT.ODA.ODAT.CD,Millions (0.0),8430.6,8636.3,9777.3,..
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,Millions (0.00),842.85,862.30,889.02,912.00
Europe & Central Asia,ECS,Population growth (annual %),SP.POP.GROW,Unit (0.0),0.5,0.1,0.4,0.5
Europe & Central Asia,ECS,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),28362.7,28463.7,28464.8,28461.1
Europe & Central Asia,ECS,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),30.8,31.4,32.4,33.2
Europe & Central Asia,ECS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,,
Europe & Central Asia,ECS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),1.9,8.0,2.9,2.2
Europe & Central Asia,ECS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),8230.89,10771.30,21745.78,21075.25
Europe & Central Asia,ECS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),9766,12491,24461,23109
Europe & Central Asia,ECS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),9655.42,13616.20,23016.69,28060.07
Europe & Central Asia,ECS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),11456,15790,25890,30768
Europe & Central Asia,ECS,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),,,,
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),72,73,76,..
Europe & Central Asia,ECS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),2.0,1.6,1.7,1.8
Europe & Central Asia,ECS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),36,26,21,..
Europe & Central Asia,ECS,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),..,..,..,..
Europe & Central Asia,ECS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),..,95,..,..
Europe & Central Asia,ECS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),32,23,14,..
Europe & Central Asia,ECS,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),,,,
Europe & Central Asia,ECS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),..,91,93,..
Europe & Central Asia,ECS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),96,96,98,..
Europe & Central Asia,ECS,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),103.5,102.9,102.4,103.3
Europe & Central Asia,ECS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),91,95,98,..
Europe & Central Asia,ECS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),1,1,1,..
Europe & Central Asia,ECS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),,,,
Europe & Central Asia,ECS,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),10199.8,10286.1,10409.1,..
Europe & Central Asia,ECS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),4.0,8.0,,9.6
Europe & Central Asia,ECS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),,,,7.4
Europe & Central Asia,ECS,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Unit (0),95,96,98,..
Europe & Central Asia,ECS,Improved sanitation facilities (% of population with access),SH.STA.ACSN,Unit (0),90,91,93,..
Europe & Central Asia,ECS,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),0.7,0.2,0.6,0.8
Europe & Central Asia,ECS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),3758,3195,3305,..
Europe & Central Asia,ECS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Unit (0.00),..,7.59,7.54,..
Europe & Central Asia,ECS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),5051,4940,5527,..
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),8837.80,10011.30,20905.47,20162.86
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),2.3,4.3,2.6,1.7
Europe & Central Asia,ECS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),5.4,3.9,2.0,1.1
Europe & Central Asia,ECS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),..,3,2,2
Europe & Central Asia,ECS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),..,29,26,26
Europe & Central Asia,ECS,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,Unit (0),..,68,71,72
Europe & Central Asia,ECS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),25,36,38,41
Europe & Central Asia,ECS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),26,34,36,38
Europe & Central Asia,ECS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Unit (0),25,23,21,21
Europe & Central Asia,ECS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Unit (0.0),30.6,33.2,33.0,33.8
Europe & Central Asia,ECS,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Unit (0.0),-1.5,0.5,-4.5,-1.8
Europe & Central Asia,ECS,Time required to start a business (days),IC.REG.DURS,Unit (0),..,..,17,10
Europe & Central Asia,ECS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Unit (0.0),94.1,109.9,151.7,144.4
Europe & Central Asia,ECS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Unit (0.0),18.2,19.8,18.8,19.2
Europe & Central Asia,ECS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Unit (0.0),2.6,1.9,1.9,1.8
Europe & Central Asia,ECS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Unit (0.0),0.4,34.1,120.1,125.1
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,Unit (0.0),0.0,13.2,56.1,71.1
Europe & Central Asia,ECS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Unit (0),14,22,15,..
Europe & Central Asia,ECS,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,Unit (0),..,..,..,..
Europe & Central Asia,ECS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Unit (0),42,56,60,62
Europe & Central Asia,ECS,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Unit (0),..,..,..,..
Europe & Central Asia,ECS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Millions (0),..,..,..,..
Europe & Central Asia,ECS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Unit (0.0),,,,
Europe & Central Asia,ECS,Net migration,SM.POP.NETM,Thousands (0),..,..,..,..
Europe & Central Asia,ECS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Millions (0),34462,44139,132853,127346
Europe & Central Asia,ECS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Millions (0),97647,749003,691844,674231
Europe & Central Asia,ECS,Net official development assistance received (current US$),DT.ODA.ODAT.CD,Millions (0.0),1462.9,4608.0,7446.6,..
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,Millions (0.00),445.04,524.83,596.48,637.66
Latin America & Caribbean,LCN,Population growth (annual %),SP.POP.GROW,Unit (0.0),1.9,1.5,1.2,1.0
Latin America & Caribbean,LCN,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),20452.7,20425.5,20425.5,20425.5
Latin America & Caribbean,LCN,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),22.2,26.2,29.8,31.8
Latin America & Caribbean,LCN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,,
Latin America & Caribbean,LCN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),15.8,13.9,6.5,5.4
Latin America & Caribbean,LCN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),1031.22,2124.10,4756.36,5297.14
Latin America & Caribbean,LCN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),2317,4047,7974,8307
Latin America & Caribbean,LCN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),2486.11,4360.04,7687.13,9565.51
Latin America & Caribbean,LCN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),5586,8308,12888,15001
Latin America & Caribbean,LCN,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),,,,
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),68,72,74,..
Latin America & Caribbean,LCN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),3.2,2.6,2.2,2.1
Latin America & Caribbean,LCN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),84,81,68,..
Latin America & Caribbean,LCN,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),58,..,..,..
Latin America & Caribbean,LCN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),74,87,..,..
Latin America & Caribbean,LCN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),54,32,24,..
Latin America & Caribbean,LCN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),7.6,5.3,3.7,2.9
Latin America & Caribbean,LCN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),76,94,93,..
Latin America & Caribbean,LCN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),91,98,99,..
Latin America & Caribbean,LCN,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),114.5,119.2,112.4,108.4
Latin America & Caribbean,LCN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),76,85,90,..
Latin America & Caribbean,LCN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),1,1,1,..
Latin America & Caribbean,LCN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),0.3,0.5,0.5,0.5
Latin America & Caribbean,LCN,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),10242.3,9797.2,9381.2,..
Latin America & Caribbean,LCN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),5.6,9.6,,16.1
Latin America & Caribbean,LCN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),,,,2.4
Latin America & Caribbean,LCN,Improved water source (% of population with access),SH.H2O.SAFE.ZS,Unit (0),85,90,93,..
Latin America & Caribbean,LCN,Improved sanitation facilities (% of population with access),SH.STA.ACSN,Unit (0),67,75,81,..
Latin America & Caribbean,LCN,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),2.7,2.1,1.6,1.4
Latin America & Caribbean,LCN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),1046,1146,1320,..
Latin America & Caribbean,LCN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Unit (0.00),2.27,2.55,2.88,..
Latin America & Caribbean,LCN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),1168,1588,1966,..
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),1170.49,2262.09,5334.36,5294.93
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),0.5,3.8,5.8,-0.7
Latin America & Caribbean,LCN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),17.1,5.2,5.1,2.4
Latin America & Caribbean,LCN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),9,6,5,6
Latin America & Caribbean,LCN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),38,32,33,26
Latin America & Caribbean,LCN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,Unit (0),54,63,61,68
Latin America & Caribbean,LCN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),18,19,22,21
Latin America & Caribbean,LCN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),15,20,21,22
